DATE,STATION,LEVEL,TIME STARTED (UTC),TIME ENDED (UTC),TOTAL TIME,cloud_friendly,clouds,pressure (mb),temp_air,temp_dewpoint,temp_perceived,relative_humidity,visibility (m),wind_direction,wind_friendly,wind_speed (KT),clouds_altitude,clouds_symbol,clouds_type,processtimestamp
10/17/2023  1:00:00 PM,RPLL,YELLOW,01:06:00 PM,01:52:00 PM,12:46:00 AM,Partly cloudy,"[{'altitude': 2300, 'symbol': 'SCT023', 'type': 'SCT', 'index': 383}, {'altitude': 10000, 'symbol': 'BKN100', 'type': 'BKN', 'index': 383}]",1013,29.0,25.0,34.0,79.0,10000,120,Light winds,5,10000.0,BKN100,BKN,10/18/2023 06:01:09
10/20/2023  10:00:00 PM,RPVM,YELLOW,10:07:00 PM,10:17:00 PM,12:10:00 AM,Partly cloudy,"[{'altitude': 1800, 'symbol': 'FEW018', 'type': 'FEW', 'index': 221}, {'altitude': 10000, 'symbol': 'BKN100', 'type': 'BKN', 'index': 221}]",1013,26,25,26,94,10000.0,320,Light winds,4,10000.0,BKN100,BKN,10/21/2023 18:01:00
10/21/2023  6:00:00 PM,RPMD,RED,06:57:00 PM,07:28:00 PM,12:31:00 AM,Partly cloudy,"[{'altitude': 2000, 'symbol': 'SCT020', 'type': 'SCT', 'index': 3}, {'altitude': 8000, 'symbol': 'BKN080', 'type': 'BKN', 'index': 3}]",1012,24.0,24.0,24.0,100.0,10000.0,0,Calm winds,2,8000.0,BKN080,BKN,10/22/2023 06:01:00
10/22/2023  4:00:00 AM,RPVM,YELLOW,04:10:00 AM,04:26:00 AM,12:16:00 AM,Partly cloudy,"[{'altitude': 1800, 'symbol': 'FEW018', 'type': 'FEW', 'index': 216}, {'altitude': None, 'symbol': 'BKN', 'type': 'BKN', 'index': 216}]",1012,32.0,26.0,39.0,71.0,,40,Light winds,7,1800.0,BKN,BKN,10/22/2023 18:01:01
10/23/2023  8:00:00 PM,RPMD,RED,08:18:00 PM,09:42:00 PM,01:24:00 AM,Partly cloudy,"[{'altitude': 1600, 'symbol': 'FEW016', 'type': 'FEW', 'index': 478}]",1010,24.0,24.0,24.0,100.0,10000,330,Calm winds,3,1600.0,FEW016,FEW,10/24/2023 18:00:59
10/24/2023  11:00:00 PM,RPMD,RED,11:11:00 PM,12:05:00 AM,-23:06:00,Partly cloudy,"[{'altitude': 1600, 'symbol': 'FEW016', 'type': 'FEW', 'index': 370}, {'altitude': 9000, 'symbol': 'SCT090', 'type': 'SCT', 'index': 370}, {'altitude': 26000, 'symbol': 'BKN260', 'type': 'BKN', 'index': 370}]",1012,27,27,30,100,10000,0,Calm winds,1,26000.0,BKN260,BKN,10/25/2023 18:01:00
11/1/2023  5:00:00 AM,RPVP,RED,05:59:00 AM,06:15:00 AM,12:16:00 AM,Partly cloudy,"[{'altitude': 1900, 'symbol': 'FEW019', 'type': 'FEW', 'index': 25}, {'altitude': 24000, 'symbol': 'SCT240', 'type': 'SCT', 'index': 25}]",1010,31.0,25.0,36.0,71.0,10000.0,90,Light winds,10,24000.0,SCT240,SCT,11/02/2023 06:01:01
11/4/2023  7:00:00 PM,RPLC,RED,07:10:00 PM,08:01:00 PM,12:51:00 AM,Partly cloudy,"[{'altitude': 2000, 'symbol': 'FEW020', 'type': 'FEW', 'index': 299}]",1011,27,24,29,84,10000.0,360,Calm winds,2,2000.0,FEW020,FEW,11/05/2023 18:01:03
11/8/2023  11:00:00 PM,RPMD,RED,11:32:00 PM,12:59:00 AM,-22:33:00,Partly cloudy,"[{'altitude': 1600, 'symbol': 'FEW016', 'type': 'FEW', 'index': 475}, {'altitude': 9000, 'symbol': 'SCT090', 'type': 'SCT', 'index': 475}, {'altitude': 26000, 'symbol': 'BKN260', 'type': 'BKN', 'index': 475}]",1011,27,27,30,100,10000.0,20,Light winds,5,26000.0,BKN260,BKN,11/09/2023 18:01:04
11/9/2023  4:00:00 PM,RPMD,RED,04:59:00 PM,06:08:00 PM,01:09:00 AM,Partly cloudy,"[{'altitude': 1600, 'symbol': 'FEW016', 'type': 'FEW', 'index': 5}]",1011.0,26.0,25.0,26.0,94.0,10000.0,360,Calm winds,2,1600.0,FEW016,FEW,11/10/2023 06:01:00
11/17/2023  6:00:00 PM,RPVM,YELLOW,06:12:00 PM,07:08:00 PM,12:56:00 AM,Partly cloudy,"[{'altitude': 2000, 'symbol': 'FEW020', 'type': 'FEW', 'index': 408}, {'altitude': 10000, 'symbol': 'BKN100', 'type': 'BKN', 'index': 408}]",1010.0,27.0,24.0,29.0,84.0,10000,360,Light winds,4,10000.0,BKN100,BKN,11/18/2023 06:01:00
11/18/2023  6:00:00 PM,RPMD,RED,06:45:00 PM,07:03:00 PM,12:18:00 AM,Partly cloudy,"[{'altitude': 1600, 'symbol': 'FEW016', 'type': 'FEW', 'index': 468}, {'altitude': 9000, 'symbol': 'SCT090', 'type': 'SCT', 'index': 468}, {'altitude': 25000, 'symbol': 'BKN250', 'type': 'BKN', 'index': 468}]",1008.0,26.0,26.0,26.0,100.0,10000,0,Calm winds,1,25000.0,BKN250,BKN,11/19/2023 06:01:00
3/27/2024  4:00:00 PM,RPLL,YELLOW,04:18:00 PM,04:32:00 PM,12:14:00 AM,Partly cloudy,"[{'altitude': 2500, 'symbol': 'BKN025', 'type': 'BKN', 'index': 485}, {'altitude': 10000, 'symbol': 'BKN100', 'type': 'BKN', 'index': 485}]",1016.0,28.0,23.0,30.0,74.0,10000.0,20,Light winds,5,10000.0,BKN100,BKN,03/28/2024 06:01:25
3/27/2024  4:00:00 PM,RPLL,RED,04:33:00 PM,05:15:00 PM,12:42:00 AM,Partly cloudy,"[{'altitude': 2500, 'symbol': 'BKN025', 'type': 'BKN', 'index': 485}, {'altitude': 10000, 'symbol': 'BKN100', 'type': 'BKN', 'index': 485}]",1016.0,28.0,23.0,30.0,74.0,10000.0,20,Light winds,5,10000.0,BKN100,BKN,03/28/2024 06:01:25
3/27/2024  5:00:00 PM,RPLL,YELLOW,05:16:00 PM,05:34:00 PM,12:18:00 AM,Partly cloudy,"[{'altitude': 2500, 'symbol': 'FEW025', 'type': 'FEW', 'index': 484}, {'altitude': 10000, 'symbol': 'BKN100', 'type': 'BKN', 'index': 484}]",1014.0,28.0,22.0,30.0,70.0,10000.0,80,Calm winds,3,10000.0,BKN100,BKN,03/28/2024 06:01:25
3/28/2024  1:00:00 PM,RPMD,RED,01:45:00 PM,02:23:00 PM,12:38:00 AM,Overcast skies,"[{'altitude': 1600, 'symbol': 'SCT016', 'type': 'SCT', 'index': 293}, {'altitude': 9000, 'symbol': 'OVC090', 'type': 'OVC', 'index': 293}]",1013,26,26,26,100,10000,340,Calm winds,3,9000.0,OVC090,OVC,03/29/2024 06:01:25
3/29/2024  1:00:00 PM,RPLC,YELLOW,01:01:00 PM,01:29:00 PM,12:28:00 AM,Partly cloudy,"[{'altitude': 2000, 'symbol': 'FEW020', 'type': 'FEW', 'index': 143}]",1015.0,27.0,23.0,28.0,79.0,10000.0,270,Calm winds,2,2000.0,FEW020,FEW,03/30/2024 06:01:19
3/29/2024  1:00:00 PM,RPLC,AMBER,01:30:00 PM,01:59:00 PM,12:29:00 AM,Partly cloudy,"[{'altitude': 2000, 'symbol': 'FEW020', 'type': 'FEW', 'index': 143}]",1015.0,27.0,23.0,28.0,79.0,10000.0,270,Calm winds,2,2000.0,FEW020,FEW,03/30/2024 06:01:19
3/29/2024  2:00:00 PM,RPLC,RED,02:00:00 PM,02:22:00 PM,12:22:00 AM,Partly cloudy,"[{'altitude': 2000, 'symbol': 'FEW020', 'type': 'FEW', 'index': 142}]",1015.0,27.0,23.0,28.0,79.0,10000.0,360,Calm winds,2,2000.0,FEW020,FEW,03/30/2024 06:01:19
3/29/2024  11:00:00 AM,RPLL,YELLOW,11:55:00 AM,12:14:00 PM,12:19:00 AM,Partly cloudy,"[{'altitude': 2500, 'symbol': 'FEW025', 'type': 'FEW', 'index': 505}]",1012.0,31.0,23.0,34.0,63.0,10000.0,120,Light winds,6,2500.0,FEW025,FEW,03/30/2024 06:01:19
3/29/2024  12:00:00 PM,RPLL,RED,12:15:00 PM,12:22:00 PM,12:07:00 AM,Partly cloudy,"[{'altitude': 2500, 'symbol': 'FEW025', 'type': 'FEW', 'index': 504}]",1013.0,30.0,25.0,36.0,75.0,10000.0,100,Light winds,5,2500.0,FEW025,FEW,03/30/2024 06:01:19
3/29/2024  12:00:00 PM,RPLL,YELLOW,12:23:00 PM,12:34:00 PM,12:11:00 AM,Partly cloudy,"[{'altitude': 2500, 'symbol': 'FEW025', 'type': 'FEW', 'index': 504}]",1013.0,30.0,25.0,36.0,75.0,10000.0,100,Light winds,5,2500.0,FEW025,FEW,03/30/2024 06:01:19
5/9/2024  3:00:00 PM,RPLL,YELLOW,03:41:00 PM,04:31:00 PM,12:50:00 AM,Partly cloudy,"[{'altitude': 2500, 'symbol': 'FEW025', 'type': 'FEW', 'index': 156}]",1012,30.0,24.0,35.0,70.0,10000,130,Light winds,5,2500.0,FEW025,FEW,05/10/2024 06:01:27
